loc,acc_2014m01,acc_2014m02,acc_2014m03,acc_2014m04,acc_2014m05,acc_2014m06,acc_2014m07,acc_2014m08,acc_2014m09,acc_2014m10,acc_2014m11,acc_2014m12,acc_2015m01,acc_2015m02,acc_2015m03,acc_2015m04,acc_2015m05,acc_2015m06,acc_2015m07,acc_2015m08,acc_2015m09,acc_2015m10,acc_2015m11,acc_2015m12,acc_2016m01
Beyla,0,0,0,0,0,0,0,1,3,33,43,46,47,47,47,47,47,47,47,47,47,47,47,47,47
Boffa,0,0,0,0,4,19,19,19,19,19,19,19,24,27,34,36,36,36,36,36,36,36,36,36,36
Boke,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7,31,31,31,31,31,31,31,31
Coyah,0,0,0,0,0,0,1,1,12,58,90,150,162,180,220,224,224,224,227,227,227,227,227,231,231
Dabola,0,0,2,2,2,2,2,2,2,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Dalaba,0,0,0,0,0,0,0,0,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Dinguiraye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixinn,0,0,20,39,43,56,74,103,182,242,267,343,368,426,503,510,510,516,542,550,552,553,553,577,577
Dubreka,0,0,0,0,0,0,0,24,25,26,35,64,74,95,106,107,127,134,134,135,135,135,135,149,149
Faranah,0,0,0,0,0,0,0,0,0,13,37,41,47,47,47,47,47,47,47,47,47,47,47,47,47
Forecariah,0,0,0,0,0,0,0,5,9,18,22,45,85,175,297,356,385,412,422,424,428,434,434,434,434
Fria,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,8,9,9,10,10,10,10,10,12,12
Gaoual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gueckedou,0,0,33,71,101,163,183,216,250,261,263,271,271,271,271,271,271,271,271,271,271,271,271,271,271
Kaloum,0,0,20,39,43,56,74,103,182,242,267,343,368,426,503,510,510,516,542,550,552,553,553,577,577
Kankan,0,0,0,0,0,0,0,0,0,5,21,28,30,30,30,30,30,30,30,30,30,30,30,32,32
Kerouane,0,0,0,0,0,0,0,8,26,122,143,161,161,161,161,161,161,161,161,161,161,161,161,161,161
Kindia,0,0,0,0,0,1,1,1,2,12,27,58,61,63,72,74,74,74,74,74,74,74,74,79,79
Kissidougou,0,0,2,2,2,2,2,2,3,6,13,90,91,92,92,92,92,92,92,92,92,92,92,98,98
Koubia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koundara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kouroussa,0,0,0,0,1,1,2,2,2,3,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Labe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lelouma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lola,0,0,0,0,0,0,0,0,7,17,33,55,76,82,82,82,82,82,82,82,82,82,82,92,92
Macenta,0,1,12,12,26,27,31,139,417,593,663,709,710,712,712,712,712,712,712,712,712,712,712,712,712
Mali,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5
Mamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matam,0,0,20,39,43,56,74,103,182,242,267,343,368,426,503,510,510,516,542,550,552,553,553,577,577
Matoto,0,0,20,39,43,56,74,103,182,242,267,343,368,426,503,510,510,516,542,550,552,553,553,577,577
N'Zerekore,0,0,0,0,0,0,4,11,44,129,185,209,212,212,212,212,212,212,212,212,212,212,212,213,213
Pita,0,0,0,0,0,0,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Ratoma,0,0,20,39,43,56,74,103,182,242,267,343,368,426,503,510,510,516,542,550,552,553,553,577,577
Siguiri,0,0,1,1,1,1,7,7,7,13,20,24,25,25,27,27,27,27,27,27,27,27,27,27,27
Telemele,0,0,0,0,20,23,23,23,23,23,23,39,39,39,39,39,39,39,39,39,39,39,39,40,40
Tougue,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Yomou,0,0,0,0,0,0,0,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
