loc,acc_2014m01,acc_2014m02,acc_2014m03,acc_2014m04,acc_2014m05,acc_2014m06,acc_2014m07,acc_2014m08,acc_2014m09,acc_2014m10,acc_2014m11,acc_2014m12,acc_2015m01,acc_2015m02,acc_2015m03,acc_2015m04,acc_2015m05,acc_2015m06,acc_2015m07,acc_2015m08,acc_2015m09,acc_2015m10,acc_2015m11,acc_2015m12,acc_2016m01
Bomi,0,0,0,0,0,2,40,65,103,125,129,130,131,131,131,131,131,131,131,131,131,131,131,132,132
Bong,0,0,0,0,0,1,11,39,103,121,149,149,149,149,150,150,150,150,150,150,150,150,150,150,150
Gbapolu,0,0,0,0,0,0,0,1,7,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Grand Bassa,0,0,0,0,0,0,3,16,23,37,47,56,58,58,58,58,58,58,58,58,58,58,58,58,58
Grand Cape Mount,0,0,0,0,0,0,1,3,26,40,72,90,91,95,95,95,95,95,95,95,95,95,95,96,96
Grand Gedeh,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Grand Kru,0,0,0,0,0,0,0,0,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lofa,0,0,3,4,5,66,127,274,320,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329
Margibi,0,0,1,1,1,4,22,135,323,385,399,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Maryland,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Montserrado,0,0,0,0,2,30,106,295,382,613,675,761,786,794,795,795,795,795,795,795,795,795,795,801,801
Nimba,0,0,0,0,2,3,11,57,108,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
River Cess,0,0,0,0,0,0,7,8,10,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
River Gee,0,0,0,0,0,0,0,2,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Sinoe,0,0,0,0,0,0,0,1,6,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
