week,sum,seqno
2014-W01,0,1
2014-W02,0,2
2014-W03,0,3
2014-W04,0,4
2014-W05,0,5
2014-W06,0,6
2014-W07,0,7
2014-W08,0,8
2014-W09,0,9
2014-W10,0,10
2014-W11,0,11
2014-W12,2,12
2014-W13,2,13
2014-W14,4,14
2014-W15,0,15
2014-W16,0,16
2014-W17,0,17
2014-W18,2,18
2014-W19,8,19
2014-W20,0,20
2014-W21,2,21
2014-W22,0,22
2014-W23,6,23
2014-W24,34,24
2014-W25,55,25
2014-W26,55,26
2014-W27,44,27
2014-W28,66,28
2014-W29,54,29
2014-W30,165,30
2014-W31,165,31
2014-W32,162,32
2014-W33,202,33
2014-W34,180,34
2014-W35,131,35
2014-W36,160,36
2014-W37,127,37
2014-W38,157,38
2014-W39,125,39
2014-W40,109,40
2014-W41,70,41
2014-W42,130,42
2014-W43,142,43
2014-W44,176,44
2014-W45,102,45
2014-W46,153,46
2014-W47,107,47
2014-W48,97,48
2014-W49,105,49
2014-W50,68,50
2014-W51,32,51
2014-W52,57,52
2015-W01,16,53
2015-W02,8,54
2015-W03,24,55
2015-W04,12,56
2015-W05,14,57
2015-W06,6,58
2015-W07,16,59
2015-W08,2,60
2015-W09,0,61
2015-W10,2,62
2015-W11,0,63
2015-W12,2,64
2015-W13,0,65
2015-W14,0,66
2015-W15,0,67
2015-W16,0,68
2015-W17,0,69
2015-W18,0,70
2015-W19,0,71
2015-W20,0,72
2015-W21,0,73
2015-W22,0,74
2015-W23,0,75
2015-W24,0,76
2015-W25,0,77
2015-W26,0,78
2015-W27,0,79
2015-W28,0,80
2015-W29,0,81
2015-W30,0,82
2015-W31,0,83
2015-W32,0,84
2015-W33,0,85
2015-W34,0,86
2015-W35,0,87
2015-W36,0,88
2015-W37,0,89
2015-W38,0,90
2015-W39,0,91
2015-W40,0,92
2015-W41,0,93
2015-W42,0,94
2015-W43,0,95
2015-W44,0,96
2015-W45,0,97
2015-W46,0,98
2015-W47,0,99
2015-W48,0,100
2015-W49,0,101
2015-W50,0,102
2015-W51,0,103
2015-W52,0,104
2015-W53,0,105
2016-W01,0,106
2016-W02,0,107
