V2,V3,value
Aabenraa,Aabenraa,19492
Sønderborg,Aabenraa,2213
Haderslev,Aabenraa,1780
Tønder,Aabenraa,1285
Kolding,Aabenraa,473
Esbjerg,Aabenraa,134
Vejen,Aabenraa,132
Aarhus,Aabenraa,117
Vejle,Aabenraa,116
Odense,Aabenraa,100
København,Aabenraa,71
Fredericia,Aabenraa,68
Middelfart,Aabenraa,47
Horsens,Aabenraa,42
Varde,Aabenraa,31
Aalborg,Aabenraa,22
Hedensted,Aabenraa,22
Billund,Aabenraa,20
Silkeborg,Aabenraa,19
Skanderborg,Aabenraa,18
Viborg,Aabenraa,18
Næstved,Aabenraa,17
Randers,Aabenraa,16
Assens,Aabenraa,15
Herning,Aabenraa,14
Faaborg-Midtfyn,Aabenraa,13
Slagelse,Aabenraa,13
Svendborg,Aabenraa,12
Hjørring,Aabenraa,10
Mariagerfjord,Aabenraa,10
Favrskov,Aabenraa,9
Frederiksberg,Aabenraa,9
Syddjurs,Aabenraa,9
Faxe,Aabenraa,8
Gentofte,Aabenraa,8
Holstebro,Aabenraa,8
Hvidovre,Aabenraa,8
Nordfyns,Aabenraa,8
Nyborg,Aabenraa,8
Ringkøbing-Skjern,Aabenraa,8
Rebild,Aabenraa,7
Holbæk,Aabenraa,6
Ikast-Brande,Aabenraa,6
Langeland,Aabenraa,6
Norddjurs,Aabenraa,6
Roskilde,Aabenraa,6
Rudersdal,Aabenraa,6
Vesthimmerlands,Aabenraa,6
Fredensborg,Aabenraa,5
Gladsaxe,Aabenraa,5
Herlev,Aabenraa,5
Kalundborg,Aabenraa,5
Kerteminde,Aabenraa,5
Køge,Aabenraa,5
Struer,Aabenraa,5
Thisted,Aabenraa,5
Brønderslev,Aabenraa,4
Greve,Aabenraa,4
Gribskov,Aabenraa,4
Guldborgsund,Aabenraa,4
Lolland,Aabenraa,4
Ringsted,Aabenraa,4
Solrød,Aabenraa,4
Tårnby,Aabenraa,4
Vallensbæk,Aabenraa,4
Allerød,Aabenraa,3
Ballerup,Aabenraa,3
Halsnæs,Aabenraa,3
Helsingør,Aabenraa,3
Høje-Taastrup,Aabenraa,3
Lejre,Aabenraa,3
Lyngby-Taarbæk,Aabenraa,3
Morsø,Aabenraa,3
Rødovre,Aabenraa,3
Skive,Aabenraa,3
Sorø,Aabenraa,3
Vordingborg,Aabenraa,3
Ærø,Aabenraa,3
Albertslund,Aabenraa,2
Bornholm,Aabenraa,2
Egedal,Aabenraa,2
Frederikshavn,Aabenraa,2
Frederikssund,Aabenraa,2
Hillerød,Aabenraa,2
Hørsholm,Aabenraa,2
Jammerbugt,Aabenraa,2
Læsø,Aabenraa,2
