week,sum,seqno
2014-W01,0,1
2014-W02,0,2
2014-W03,0,3
2014-W04,0,4
2014-W05,0,5
2014-W06,0,6
2014-W07,0,7
2014-W08,0,8
2014-W09,0,9
2014-W10,0,10
2014-W11,0,11
2014-W12,0,12
2014-W13,0,13
2014-W14,0,14
2014-W15,0,15
2014-W16,0,16
2014-W17,0,17
2014-W18,0,18
2014-W19,0,19
2014-W20,0,20
2014-W21,3,21
2014-W22,17,22
2014-W23,32,23
2014-W24,65,24
2014-W25,58,25
2014-W26,49,26
2014-W27,87,27
2014-W28,106,28
2014-W29,75,29
2014-W30,98,30
2014-W31,144,31
2014-W32,135,32
2014-W33,126,33
2014-W34,172,34
2014-W35,186,35
2014-W36,214,36
2014-W37,232,37
2014-W38,387,38
2014-W39,298,39
2014-W40,365,40
2014-W41,368,41
2014-W42,354,42
2014-W43,259,43
2014-W44,275,44
2014-W45,413,45
2014-W46,332,46
2014-W47,321,47
2014-W48,286,48
2014-W49,245,49
2014-W50,265,50
2014-W51,204,51
2014-W52,263,52
2015-W01,223,53
2015-W02,189,54
2015-W03,121,55
2015-W04,104,56
2015-W05,84,57
2015-W06,88,58
2015-W07,100,59
2015-W08,81,60
2015-W09,67,61
2015-W10,90,62
2015-W11,34,63
2015-W12,36,64
2015-W13,21,65
2015-W14,10,66
2015-W15,15,67
2015-W16,17,68
2015-W17,6,69
2015-W18,7,70
2015-W19,3,71
2015-W20,8,72
2015-W21,7,73
2015-W22,14,74
2015-W23,15,75
2015-W24,14,76
2015-W25,8,77
2015-W26,9,78
2015-W27,9,79
2015-W28,6,80
2015-W29,7,81
2015-W30,3,82
2015-W31,2,83
2015-W32,1,84
2015-W33,0,85
2015-W34,2,86
2015-W35,0,87
2015-W36,0,88
2015-W37,0,89
2015-W38,0,90
2015-W39,0,91
2015-W40,0,92
2015-W41,0,93
2015-W42,0,94
2015-W43,0,95
2015-W44,0,96
2015-W45,0,97
2015-W46,0,98
2015-W47,0,99
2015-W48,0,100
2015-W49,0,101
2015-W50,0,102
2015-W51,0,103
2015-W52,0,104
2015-W53,0,105
2016-W01,0,106
2016-W02,0,107
